Model Type,Language Class,Language,Training Size,Test 1,Test 2,Test 3
BiGRU,SL,SL.4.2.1,10k,1.0,1.0,0.9995002498750625
BiGRU,SL,SL.4.2.1,100k,1.0,1.0,1.0
UniGRU,SL,SL.4.2.1,100k,1.0,1.0,1.0
UniGRU,SP,SP.4.2.4,10k,0.9988987886675343,1.0,0.7662835249042145
BiGRU,TSL,TSL.0,10k,1.0,1.0,1.0
UniGRU,TSL,TSL.1,10k,1.0,1.0,1.0
UniGRU,SP,SP.4.2.4,100k,0.9999899998999989,1.0,0.8063345643374349
BiGRU,SP,SP.4.2.4,10k,0.9988987886675343,1.0,0.7662835249042145
BiGRU,SP,SP.4.2.2,10k,0.9998999899989998,1.0,0.6707357971694949
UniGRU,SL,SL.4.2.2,10k,1.0,1.0,1.0
BiGRU,TSL,TSL.2,10k,1.0,0.9999000099990001,0.9867771857114664
UniGRU,TSL,TSL.0,10k,1.0,1.0,1.0
UniGRU,SP,SP.4.2.1,10k,1.0,1.0,1.0
BiGRU,SP,SP.4.2.4,100k,0.9999899998999989,1.0,0.8063345643374349
BiGRU,SL,SL.4.2.2,10k,1.0,1.0,1.0
UniGRU,SP,SP.4.2.2,100k,1.0,1.0,1.0
BiGRU,TSL,TSL.2,100k,1.0,0.999970000899973,0.986738238080202
BiGRU,SP,SP.4.2.1,10k,1.0,1.0,1.0
UniGRU,TSL,TSL.2,100k,1.0,0.999970000899973,0.986738238080202
UniGRU,SL,SL.4.2.4,10k,1.0,0.9999000099990001,0.9511128019783145
UniGRU,SL,SL.4.2.4,100k,1.0,1.0,1.0
UniGRU,TSL,TSL.2,10k,1.0,0.9999000099990001,0.9867771857114664
UniGRU,SP,SP.4.2.1,100k,1.0,1.0,1.0
BiGRU,TSL,TSL.1,100k,1.0,1.0,1.0
BiGRU,SL,SL.4.2.4,10k,1.0,0.9999000099990001,0.9511128019783145
UniGRU,TSL,TSL.1,100k,1.0,1.0,1.0
BiGRU,SP,SP.4.2.2,100k,1.0,1.0,1.0
BiGRU,TSL,TSL.0,100k,1.0,1.0,1.0
BiGRU,SL,SL.4.2.4,100k,1.0,1.0,1.0
BiGRU,SL,SL.4.2.2,100k,1.0,1.0,1.0
UniGRU,TSL,TSL.0,100k,1.0,1.0,1.0
UniGRU,SP,SP.4.2.2,10k,0.9998999899989998,1.0,0.6707357971694949
UniGRU,SL,SL.4.2.2,100k,1.0,1.0,1.0
UniGRU,SL,SL.4.2.1,10k,1.0,1.0,0.9995002498750625
BiGRU,TSL,TSL.1,10k,1.0,1.0,1.0
BiGRU,SP,SP.4.2.1,100k,1.0,1.0,1.0
